Drug Code,Generic Name,Unit Size,Mrp,Group Name,Map_id,Text,Product Information,Price
359,Tetanus Vaccine IP,0.5 ml Ampoule,Under Process,Vaccines,1,Tetanus Vaccine Adsorbed 0.5ml,"Tetanus Vaccine Adsorbed 0.5ml is used as a vaccination to prevent tetanus (also known as lockjaw). During childhood, four doses are recommended, with a fifth given during adolescence. Additional doses every 10 years are recommended.

Tetanus Vaccine Adsorbed 0.5ml is administered by a healthcare professional and should not be self-administered. It is important that the child receives all the vaccination doses. For the vaccine to be most effective, it is important to get the vaccination booster injection every 10 years.

Some of the common side effects of this medicine include reactions at the site of vaccination injection (such as pain, swelling, and redness), fever, and loss of appetite. If these side effects do not go away with time or get worse, let the doctor know. The doctor may help with ways to reduce or prevent these symptoms.

To make sure the vaccine is safe, before receiving the vaccine, it is important to let the doctor know if you have any other illnesses. You should also tell the doctor about all the medicines you are taking.",
462,Betamethasone Valerate 0.12%w/w and Clioquinol 3%w/w Cream,30 GM,Under Process,Dermatology/Topical/External,2,Betnovate-C,,64.0
462,Betamethasone Valerate 0.12%w/w and Clioquinol 3%w/w Cream,30 GM,Under Process,Dermatology/Topical/External,2,Valeratec,,15.0
462,Betamethasone Valerate 0.12%w/w and Clioquinol 3%w/w Cream,30 GM,Under Process,Dermatology/Topical/External,2,Dipform,,56.0
462,Betamethasone Valerate 0.12%w/w and Clioquinol 3%w/w Cream,30 GM,Under Process,Dermatology/Topical/External,2,Bactoderm C,,26.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Saaz,,47.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Salamax,,195.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Fasal,,146.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Sulfawise,,74.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Sulfasafe,,131.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Dalazosaz,,48.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Salazed,,50.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Sulseas,,115.0
489,Sulfasalazine Gastro-resistant Tablets 1000mg,10's,Under Process,Gastrointestinal (GIT),3,Sazo EN,,180.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Lactifiber,,32.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Freego,,259.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Eva Q,,158.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Ezivac,,41.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Torbulk,,299.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Gutclear-IG,,215.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Looz Fibre,,323.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Laxovel,,113.0
494,Ispaghula Husk IP,100 GM,Under Process,Gastrointestinal (GIT),4,Laxitol Husk,,272.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Duphaston,,274.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Dydrofem,,664.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Divatrone,,604.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Jigest,,226.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Zuviston,,664.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Dydetrogyl,,702.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Proretero,,500.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Dydzest,,745.0
496,Dydrogesterone Tablets IP 10 mg,10's,Under Process,Gynaecology,5,Dydrokeep,,850.0
534,Salbutamol 400mcg and Beclomethasone 200mcg Respicaps,30's,Under Process,Respiratory,6,Derisone,,21.0
534,Salbutamol 400mcg and Beclomethasone 200mcg Respicaps,30's,Under Process,Respiratory,6,Ventoride,,98.0
534,Salbutamol 400mcg and Beclomethasone 200mcg Respicaps,30's,Under Process,Respiratory,6,Ibires B,,41.0
534,Salbutamol 400mcg and Beclomethasone 200mcg Respicaps,30's,Under Process,Respiratory,6,Vent Bec,,25.0
534,Salbutamol 400mcg and Beclomethasone 200mcg Respicaps,30's,Under Process,Respiratory,6,Aerotide Forte,,14.0
534,Salbutamol 400mcg and Beclomethasone 200mcg Respicaps,30's,Under Process,Respiratory,6,Durabec Breath,,111.0
534,Salbutamol 400mcg and Beclomethasone 200mcg Respicaps,30's,Under Process,Respiratory,6,Aerovent,,10.0
534,Salbutamol 400mcg and Beclomethasone 200mcg Respicaps,30's,Under Process,Respiratory,6,Aerotide,,11.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Theo-Asthalin,,8.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Ventiphylline,,11.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Nova Ventiphylline Forte,,19.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Bronkasma LS,,62.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Salbusun T,,2.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Salbuphyl,,4.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Bronil,,79.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Broncordil Plus,,12.0
559,Salbutamol 2mg and Theophylline 100mg Tablets,30's,Under Process,Respiratory,7,Vent ET,,5.0
565,"Tiotropium Bromide 18mcg, Formoterol Fumarate Dihydrate 12mcg and Ciclesonide 400mcg Rotacaps",15's,Under Process,Respiratory,8,Triohale,,867.0
565,"Tiotropium Bromide 18mcg, Formoterol Fumarate Dihydrate 12mcg and Ciclesonide 400mcg Rotacaps",15's,Under Process,Respiratory,8,Trimium,,369.0
565,"Tiotropium Bromide 18mcg, Formoterol Fumarate Dihydrate 12mcg and Ciclesonide 400mcg Rotacaps",15's,Under Process,Respiratory,8,Zovair,,260.0
574,"Rabies Vaccine, Human IP",1 ml,Under Process,Anti-Rabies,9,Abhayrab,,359.0
574,"Rabies Vaccine, Human IP",1 ml,Under Process,Anti-Rabies,9,Rabipur,,349.0
574,"Rabies Vaccine, Human IP",1 ml,Under Process,Anti-Rabies,9,Vaxirab,,337.0
574,"Rabies Vaccine, Human IP",1 ml,Under Process,Anti-Rabies,9,Xprab,,397.0
574,"Rabies Vaccine, Human IP",1 ml,Under Process,Anti-Rabies,9,Zoonovac-V,,325.0
574,"Rabies Vaccine, Human IP",1 ml,Under Process,Anti-Rabies,9,Indirab,,328.0
