Questions,Acceptance Rate,Difficulty
2542. Maximum Subsequence Score,54.0%,Medium
1. Two Sum,49.9%,Easy
2. Add Two Numbers,40.5%,Medium
3. Longest Substring Without Repeating Characters,33.8%,Medium
4. Median of Two Sorted Arrays,36.5%,Hard
5. Longest Palindromic Substring,32.4%,Medium
6. Zigzag Conversion,45.1%,Medium
7. Reverse Integer,27.5%,Medium
8. String to Integer (atoi),16.6%,Medium
9. Palindrome Number,53.7%,Easy
10. Regular Expression Matching,28.0%,Hard
11. Container With Most Water,54.0%,Medium
12. Integer to Roman,62.2%,Medium
13. Roman to Integer,58.6%,Easy
14. Longest Common Prefix,40.9%,Easy
15. 3Sum,32.7%,Medium
16. 3Sum Closest,45.6%,Medium
17. Letter Combinations of a Phone Number,56.8%,Medium
18. 4Sum,35.8%,Medium
19. Remove Nth Node From End of List,41.4%,Medium
20. Valid Parentheses,40.4%,Easy
21. Merge Two Sorted Lists,62.7%,Easy
22. Generate Parentheses,72.7%,Medium
23. Merge k Sorted Lists,50.0%,Hard
24. Swap Nodes in Pairs,62.5%,Medium
25. Reverse Nodes in k-Group,55.0%,Hard
26. Remove Duplicates from Sorted Array,51.9%,Easy
27. Remove Element,53.4%,Easy
28. Find the Index of the First Occurrence in a String,39.4%,Easy
29. Divide Two Integers,17.1%,Medium
30. Substring with Concatenation of All Words,31.4%,Hard
31. Next Permutation,37.7%,Medium
32. Longest Valid Parentheses,32.9%,Hard
33. Search in Rotated Sorted Array,39.1%,Medium
34. Find First and Last Position of Element in Sorted Array,42.0%,Medium
35. Search Insert Position,43.6%,Easy
36. Valid Sudoku,58.3%,Medium
37. Sudoku Solver,58.0%,Hard
38. Count and Say,52.4%,Medium
39. Combination Sum,68.9%,Medium
40. Combination Sum II,53.5%,Medium
41. First Missing Positive,36.8%,Hard
42. Trapping Rain Water,59.4%,Hard
43. Multiply Strings,39.3%,Medium
44. Wildcard Matching,27.0%,Hard
45. Jump Game II,39.9%,Medium
46. Permutations,75.9%,Medium
47. Permutations II,57.5%,Medium
48. Rotate Image,71.3%,Medium
49. Group Anagrams,66.8%,Medium
"50. Pow(x, n)",33.1%,Medium
51. N-Queens,64.6%,Hard
52. N-Queens II,71.8%,Hard
53. Maximum Subarray,50.2%,Medium
54. Spiral Matrix,46.3%,Medium
55. Jump Game,38.9%,Medium
56. Merge Intervals,46.3%,Medium
57. Insert Interval,39.1%,Medium
58. Length of Last Word,43.6%,Easy
59. Spiral Matrix II,69.6%,Medium
60. Permutation Sequence,44.6%,Hard
61. Rotate List,36.2%,Medium
62. Unique Paths,62.8%,Medium
63. Unique Paths II,39.5%,Medium
64. Minimum Path Sum,62.1%,Medium
65. Valid Number,18.8%,Hard
66. Plus One,43.8%,Easy
67. Add Binary,52.4%,Easy
68. Text Justification,37.6%,Hard
69. Sqrt(x),37.5%,Easy
70. Climbing Stairs,52.2%,Easy
71. Simplify Path,40.6%,Medium
72. Edit Distance,54.6%,Hard
73. Set Matrix Zeroes,51.7%,Medium
74. Search a 2D Matrix,47.9%,Medium
75. Sort Colors,58.9%,Medium
76. Minimum Window Substring,41.0%,Hard
77. Combinations,67.2%,Medium
78. Subsets,75.2%,Medium
79. Word Search,40.3%,Medium
80. Remove Duplicates from Sorted Array II,52.8%,Medium
81. Search in Rotated Sorted Array II,35.7%,Medium
82. Remove Duplicates from Sorted List II,46.0%,Medium
83. Remove Duplicates from Sorted List,50.8%,Easy
84. Largest Rectangle in Histogram,42.7%,Hard
85. Maximal Rectangle,45.0%,Hard
86. Partition List,52.2%,Medium
87. Scramble String,39.1%,Hard
88. Merge Sorted Array,46.9%,Easy
89. Gray Code,57.4%,Medium
90. Subsets II,56.0%,Medium
91. Decode Ways,32.9%,Medium
92. Reverse Linked List II,45.5%,Medium
93. Restore IP Addresses,47.7%,Medium
94. Binary Tree Inorder Traversal,74.0%,Easy
95. Unique Binary Search Trees II,52.6%,Medium
96. Unique Binary Search Trees,59.8%,Medium
97. Interleaving String,37.4%,Medium
98. Validate Binary Search Tree,32.1%,Medium
99. Recover Binary Search Tree,51.2%,Medium
101. Symmetric Tree,54.5%,Easy
102. Binary Tree Level Order Traversal,64.6%,Medium
103. Binary Tree Zigzag Level Order Traversal,57.1%,Medium
104. Maximum Depth of Binary Tree,74.0%,Easy
105. Construct Binary Tree from Preorder and Inorder Traversal,61.7%,Medium
106. Construct Binary Tree from Inorder and Postorder Traversal,60.2%,Medium
107. Binary Tree Level Order Traversal II,61.4%,Medium
108. Convert Sorted Array to Binary Search Tree,70.0%,Easy
109. Convert Sorted List to Binary Search Tree,60.4%,Medium
110. Balanced Binary Tree,49.3%,Easy
111. Minimum Depth of Binary Tree,44.7%,Easy
112. Path Sum,48.5%,Easy
113. Path Sum II,57.2%,Medium
114. Flatten Binary Tree to Linked List,62.0%,Medium
115. Distinct Subsequences,44.7%,Hard
116. Populating Next Right Pointers in Each Node,60.7%,Medium
117. Populating Next Right Pointers in Each Node II,50.4%,Medium
118. Pascal's Triangle,71.1%,Easy
119. Pascal's Triangle II,61.0%,Easy
120. Triangle,54.7%,Medium
121. Best Time to Buy and Sell Stock,54.2%,Easy
122. Best Time to Buy and Sell Stock II,64.1%,Medium
123. Best Time to Buy and Sell Stock III,45.7%,Hard
124. Binary Tree Maximum Path Sum,39.3%,Hard
125. Valid Palindrome,44.6%,Easy
126. Word Ladder II,27.5%,Hard
127. Word Ladder,37.3%,Hard
128. Longest Consecutive Sequence,48.3%,Medium
129. Sum Root to Leaf Numbers,61.2%,Medium
130. Surrounded Regions,37.0%,Medium
131. Palindrome Partitioning,65.1%,Medium
132. Palindrome Partitioning II,33.8%,Hard
133. Clone Graph,53.4%,Medium
134. Gas Station,46.1%,Medium
135. Candy,41.1%,Hard
136. Single Number,70.9%,Easy
137. Single Number II,58.7%,Medium
138. Copy List with Random Pointer,51.6%,Medium
139. Word Break,45.6%,Medium
140. Word Break II,45.5%,Hard
141. Linked List Cycle,47.6%,Easy
142. Linked List Cycle II,49.1%,Medium
143. Reorder List,53.0%,Medium
144. Binary Tree Preorder Traversal,67.1%,Easy
145. Binary Tree Postorder Traversal,68.3%,Easy
146. LRU Cache,40.8%,Medium
147. Insertion Sort List,51.3%,Medium
148. Sort List,55.4%,Medium
149. Max Points on a Line,25.3%,Hard
150. Evaluate Reverse Polish Notation,46.2%,Medium
151. Reverse Words in a String,33.3%,Medium
152. Maximum Product Subarray,34.9%,Medium
153. Find Minimum in Rotated Sorted Array,49.0%,Medium
154. Find Minimum in Rotated Sorted Array II,43.5%,Hard
155. Min Stack,52.5%,Medium
156. Binary Tree Upside Down,62.0%,Medium
157. Read N Characters Given Read4,41.0%,Easy
158. Read N Characters Given read4 II - Call Multiple Times,41.7%,Hard
159. Longest Substring with At Most Two Distinct Characters,53.9%,Medium
160. Intersection of Two Linked Lists,54.7%,Easy
161. One Edit Distance,34.2%,Medium
162. Find Peak Element,46.0%,Medium
163. Missing Ranges,32.3%,Easy
164. Maximum Gap,43.5%,Hard
165. Compare Version Numbers,35.8%,Medium
166. Fraction to Recurring Decimal,24.4%,Medium
167. Two Sum II - Input Array Is Sorted,60.1%,Medium
168. Excel Sheet Column Title,35.8%,Easy
169. Majority Element,63.9%,Easy
170. Two Sum III - Data structure design,37.4%,Easy
171. Excel Sheet Column Number,62.2%,Easy
172. Factorial Trailing Zeroes,42.3%,Medium
173. Binary Search Tree Iterator,69.9%,Medium
174. Dungeon Game,37.5%,Hard
175. Combine Two Tables,74.4%,Easy
176. Second Highest Salary,37.9%,Medium
177. Nth Highest Salary,37.8%,Medium
178. Rank Scores,60.5%,Medium
179. Largest Number,34.7%,Medium
180. Consecutive Numbers,46.5%,Medium
181. Employees Earning More Than Their Managers,69.0%,Easy
182. Duplicate Emails,70.8%,Easy
183. Customers Who Never Order,68.6%,Easy
184. Department Highest Salary,50.1%,Medium
185. Department Top Three Salaries,50.5%,Hard
186. Reverse Words in a String II,53.1%,Medium
187. Repeated DNA Sequences,47.2%,Medium
188. Best Time to Buy and Sell Stock IV,39.3%,Hard
189. Rotate Array,39.5%,Medium
190. Reverse Bits,54.5%,Easy
191. Number of 1 Bits,67.0%,Easy
192. Word Frequency,25.5%,Medium
193. Valid Phone Numbers,26.0%,Easy
194. Transpose File,25.4%,Medium
195. Tenth Line,32.8%,Easy
196. Delete Duplicate Emails,61.2%,Easy
197. Rising Temperature,44.7%,Easy
198. House Robber,49.5%,Medium
199. Binary Tree Right Side View,61.8%,Medium
200. Number of Islands,57.2%,Medium
201. Bitwise AND of Numbers Range,42.5%,Medium
202. Happy Number,54.9%,Easy
203. Remove Linked List Elements,46.3%,Easy
204. Count Primes,33.1%,Medium
205. Isomorphic Strings,43.1%,Easy
206. Reverse Linked List,73.9%,Easy
207. Course Schedule,45.4%,Medium
208. Implement Trie (Prefix Tree),63.0%,Medium
209. Minimum Size Subarray Sum,45.1%,Medium
210. Course Schedule II,48.6%,Medium
211. Design Add and Search Words Data Structure,44.0%,Medium
212. Word Search II,36.3%,Hard
213. House Robber II,41.1%,Medium
214. Shortest Palindrome,32.4%,Hard
215. Kth Largest Element in an Array,66.3%,Medium
216. Combination Sum III,67.8%,Medium
217. Contains Duplicate,61.4%,Easy
218. The Skyline Problem,42.0%,Hard
219. Contains Duplicate II,42.7%,Easy
220. Contains Duplicate III,22.2%,Hard
221. Maximal Square,45.1%,Medium
222. Count Complete Tree Nodes,60.8%,Medium
223. Rectangle Area,45.2%,Medium
224. Basic Calculator,42.5%,Hard
225. Implement Stack using Queues,59.0%,Easy
226. Invert Binary Tree,74.9%,Easy
227. Basic Calculator II,42.5%,Medium
228. Summary Ranges,47.4%,Easy
229. Majority Element II,45.4%,Medium
230. Kth Smallest Element in a BST,70.4%,Medium
231. Power of Two,46.1%,Easy
232. Implement Queue using Stacks,63.4%,Easy
233. Number of Digit One,33.9%,Hard
234. Palindrome Linked List,50.4%,Easy
235. Lowest Common Ancestor of a Binary Search Tree,61.9%,Medium
236. Lowest Common Ancestor of a Binary Tree,59.1%,Medium
237. Delete Node in a Linked List,76.3%,Medium
238. Product of Array Except Self,65.1%,Medium
239. Sliding Window Maximum,46.2%,Hard
240. Search a 2D Matrix II,51.1%,Medium
241. Different Ways to Add Parentheses,64.1%,Medium
242. Valid Anagram,63.1%,Easy
243. Shortest Word Distance,65.1%,Easy
244. Shortest Word Distance II,60.9%,Medium
245. Shortest Word Distance III,58.1%,Medium
246. Strobogrammatic Number,47.7%,Easy
247. Strobogrammatic Number II,51.6%,Medium
248. Strobogrammatic Number III,42.0%,Hard
