Title,Views,Date Streamed,Video Link,Thumbnail Link
But what is a convolution?,1.2M views,2 months ago,https://www.youtube.com/watch?v=KuXjwB4LzSA,https://i.ytimg.com/vi/KuXjwB4LzSA/hqdefault.jpg
Researchers thought this was a bug (Borwein integrals),1.4M views,2 months ago,https://www.youtube.com/watch?v=851U557j6HE,https://i.ytimg.com/vi/851U557j6HE/hqdefault.jpg
"We ran a contest for math explainers, here are the results (SoME2)",653K views,3 months ago,https://www.youtube.com/watch?v=cDofhN-RJqg,https://i.ytimg.com/vi/cDofhN-RJqg/hqdefault.jpg
How to lie using visual proofs,1.8M views,6 months ago,https://www.youtube.com/watch?v=VYQVlVoWoPY,https://i.ytimg.com/vi/VYQVlVoWoPY/hqdefault.jpg
Summer of Math Exposition 2 Invitation,251K views,7 months ago,https://www.youtube.com/watch?v=hZuYICAEN9Y,https://i.ytimg.com/vi/hZuYICAEN9Y/hqdefault.jpg
"Olympiad level counting: How many subsets of {1,…,2000} have a sum divisible by 5?",1.3M views,8 months ago,https://www.youtube.com/watch?v=bOXCLR3Wric,https://i.ytimg.com/vi/bOXCLR3Wric/hqdefault.jpg
"Oh, wait, actually the best Wordle opener is not “crane”…",5M views,11 months ago,https://www.youtube.com/watch?v=fRed0Xmc2Wg,https://i.ytimg.com/vi/fRed0Xmc2Wg/hqdefault.jpg
Solving Wordle using information theory,9.4M views,11 months ago,https://www.youtube.com/watch?v=v68zYyaEmEA,https://i.ytimg.com/vi/v68zYyaEmEA/hqdefault.jpg
"Alice, Bob, and the average area of a cube's shadow",2M views,1 year ago,https://www.youtube.com/watch?v=ltLUadnCyi0,https://i.ytimg.com/vi/ltLUadnCyi0/hqdefault.jpg
2021 Summer of Math Exposition results,748K views,1 year ago,https://www.youtube.com/watch?v=F3Qixy-r_rQ,https://i.ytimg.com/vi/F3Qixy-r_rQ/hqdefault.jpg
"Beyond the Mandelbrot set, an intro to holomorphic dynamics",1.1M views,1 year ago,https://www.youtube.com/watch?v=LqbZpur38nw,https://i.ytimg.com/vi/LqbZpur38nw/hqdefault.jpg
From Newton’s method to Newton’s fractal (which Newton knew nothing about),2.3M views,1 year ago,https://www.youtube.com/watch?v=-RdOwhmqP5s,https://i.ytimg.com/vi/-RdOwhmqP5s/hqdefault.jpg
The Summer of Math Exposition,692K views,1 year ago,https://www.youtube.com/watch?v=ojjzXyQCzso,https://i.ytimg.com/vi/ojjzXyQCzso/hqdefault.jpg
"A quick trick for computing eigenvalues | Chapter 15, Essence of linear algebra",760K views,1 year ago,https://www.youtube.com/watch?v=e50Bj7jn9IQ,https://i.ytimg.com/vi/e50Bj7jn9IQ/hqdefault.jpg
How (and why) to raise e to the power of a matrix | DE6,1.9M views,1 year ago,https://www.youtube.com/watch?v=O85OWBJ2ayo,https://i.ytimg.com/vi/O85OWBJ2ayo/hqdefault.jpg
"The medical test paradox, and redesigning Bayes' rule",958K views,2 years ago,https://www.youtube.com/watch?v=lG4VkPoG3ko,https://i.ytimg.com/vi/lG4VkPoG3ko/hqdefault.jpg
"Hamming codes part 2, the elegance of it all",707K views,2 years ago,https://www.youtube.com/watch?v=b3NxrZOu_CE,https://i.ytimg.com/vi/b3NxrZOu_CE/hqdefault.jpg
How to send a self-correcting message (Hamming codes),1.7M views,2 years ago,https://www.youtube.com/watch?v=X8jsijhllIA,https://i.ytimg.com/vi/X8jsijhllIA/hqdefault.jpg
"Group theory, abstraction, and the 196,883-dimensional monster",2.4M views,2 years ago,https://www.youtube.com/watch?v=mH0oCDa74tE,https://i.ytimg.com/vi/mH0oCDa74tE/hqdefault.jpg
The impossible chessboard puzzle,1.1M views,2 years ago,https://www.youtube.com/watch?v=wTJI_WuZSwE,https://i.ytimg.com/vi/wTJI_WuZSwE/hqdefault.jpg
The DP-3T algorithm for contact tracing (via Nicky Case),343K views,2 years ago,https://www.youtube.com/watch?v=D__UaR5MQao,https://i.ytimg.com/vi/D__UaR5MQao/hqdefault.jpg
Lockdown math announcement,812K views,2 years ago,https://www.youtube.com/watch?v=ppWPuXsnf1Q,https://i.ytimg.com/vi/ppWPuXsnf1Q/hqdefault.jpg
"Why “probability of 0” does not mean “impossible” | Probabilities of probabilities, part 2",2.1M views,2 years ago,https://www.youtube.com/watch?v=ZA4JkHKZM50,https://i.ytimg.com/vi/ZA4JkHKZM50/hqdefault.jpg
Simulating an epidemic,5M views,2 years ago,https://www.youtube.com/watch?v=gxAaO2rsdIs,https://i.ytimg.com/vi/gxAaO2rsdIs/hqdefault.jpg
"Binomial distributions | Probabilities of probabilities, part 1",1.8M views,2 years ago,https://www.youtube.com/watch?v=8idr1WZ1A7Q,https://i.ytimg.com/vi/8idr1WZ1A7Q/hqdefault.jpg
Exponential growth and epidemics,5.9M views,2 years ago,https://www.youtube.com/watch?v=Kas0tIxDvrg,https://i.ytimg.com/vi/Kas0tIxDvrg/hqdefault.jpg
The quick proof of Bayes' theorem,441K views,3 years ago,https://www.youtube.com/watch?v=U_85TaXbeIo,https://i.ytimg.com/vi/U_85TaXbeIo/hqdefault.jpg
"Bayes theorem, the geometry of changing beliefs",3.1M views,3 years ago,https://www.youtube.com/watch?v=HZGCoVF3YvM,https://i.ytimg.com/vi/HZGCoVF3YvM/hqdefault.jpg
"Q&A with Grant (3blue1brown), windy walk edition",405K views,3 years ago,https://www.youtube.com/watch?v=Agbh95KyWxY,https://i.ytimg.com/vi/Agbh95KyWxY/hqdefault.jpg
"Why do prime numbers make these spirals? | Dirichlet’s theorem, pi approximations, and more",4.1M views,3 years ago,https://www.youtube.com/watch?v=EK32jo7i5LQ,https://i.ytimg.com/vi/EK32jo7i5LQ/hqdefault.jpg
"The unexpectedly hard windmill question (2011 IMO, Q2)",4.2M views,3 years ago,https://www.youtube.com/watch?v=M64HUIJFTZM,https://i.ytimg.com/vi/M64HUIJFTZM/hqdefault.jpg
"e^(iπ) in 3.14 minutes, using dynamics | DE5",2.2M views,3 years ago,https://www.youtube.com/watch?v=v0YEaeIClKY,https://i.ytimg.com/vi/v0YEaeIClKY/hqdefault.jpg
Pure Fourier series animation montage,618K views,3 years ago,https://www.youtube.com/watch?v=-qgreAUpPwM,https://i.ytimg.com/vi/-qgreAUpPwM/hqdefault.jpg
But what is a Fourier series? From heat flow to drawing with circles | DE4,15M views,3 years ago,https://www.youtube.com/watch?v=r6sGWTCMz2k,https://i.ytimg.com/vi/r6sGWTCMz2k/hqdefault.jpg
Solving the heat equation | DE3,1M views,3 years ago,https://www.youtube.com/watch?v=ToIXSwZ1pJU,https://i.ytimg.com/vi/ToIXSwZ1pJU/hqdefault.jpg
But what is a partial differential equation? | DE2,2.1M views,3 years ago,https://www.youtube.com/watch?v=ly4S0oi3Yz8,https://i.ytimg.com/vi/ly4S0oi3Yz8/hqdefault.jpg
"Differential equations, a tourist's guide | DE1",3.1M views,3 years ago,https://www.youtube.com/watch?v=p_di4Zn4wz4,https://i.ytimg.com/vi/p_di4Zn4wz4/hqdefault.jpg
"Cramer's rule, explained geometrically | Chapter 12, Essence of linear algebra",910K views,3 years ago,https://www.youtube.com/watch?v=jBsC34PxzoM,https://i.ytimg.com/vi/jBsC34PxzoM/hqdefault.jpg
How colliding blocks act like a beam of light...to compute pi.,963K views,3 years ago,https://www.youtube.com/watch?v=brU5yLm9DZM,https://i.ytimg.com/vi/brU5yLm9DZM/hqdefault.jpg
Why do colliding blocks compute pi?,4.6M views,4 years ago,https://www.youtube.com/watch?v=jsYwFizhncE,https://i.ytimg.com/vi/jsYwFizhncE/hqdefault.jpg
The most unexpected answer to a counting puzzle,9.7M views,4 years ago,https://www.youtube.com/watch?v=HEfHFsfGXjs,https://i.ytimg.com/vi/HEfHFsfGXjs/hqdefault.jpg
But why is a sphere's surface area four times its shadow?,6.4M views,4 years ago,https://www.youtube.com/watch?v=GNcFjFmqEc8,https://i.ytimg.com/vi/GNcFjFmqEc8/hqdefault.jpg
Using topology to solve a counting riddle | The Borsuk-Ulam theorem and stolen necklaces,704K views,4 years ago,https://www.youtube.com/watch?v=yuVqxCSsE7c,https://i.ytimg.com/vi/yuVqxCSsE7c/hqdefault.jpg
Why 5/3 is a fundamental constant for turbulence,644K views,4 years ago,https://www.youtube.com/watch?v=_UoTTq651dE,https://i.ytimg.com/vi/_UoTTq651dE/hqdefault.jpg
