Title,Date Uploaded,Total Likes,Total Views,Description
But what is a convolution?,"Nov 18, 2022",61K,"1,244,638 views","Discrete convolutions, from probability, to image processing and FFTs.
Help fund future projects: "
Researchers thought this was a bug (Borwein integrals),"Nov 4, 2022",51K,"1,433,539 views","A curious pattern of integrals that all equal pi...until they don't.
Next video on convolutions: "
"We ran a contest for math explainers, here are the results (SoME2)","Oct 2, 2022",34K,"653,318 views","Winners and honorable mentions for the SoME2 contest
Playlist of all entries: "
How to lie using visual proofs,"Jul 3, 2022",79K,"1,857,640 views","Three false proofs, and what lessons they teach.
New notebooks: "
Summer of Math Exposition 2 Invitation,"Jun 9, 2022",12K,"251,705 views","Announcing the second iteration of the Summer of Math Exposition 
Mailing-list: "
"Olympiad level counting: How many subsets of {1,…,2000} have a sum divisible by 5?","May 23, 2022",52K,"1,340,430 views","A lesson on generating functions, and clever uses of complex numbers for counting
Help fund future projects: "
"Oh, wait, actually the best Wordle opener is not “crane”…","Feb 14, 2022",136K,"5,057,933 views",Following up on the Worlde-solver (
Solving Wordle using information theory,"Feb 6, 2022",205K,"9,416,940 views","An excuse to teach a lesson on information theory and entropy.
Special thanks to these supporters: "
"Alice, Bob, and the average area of a cube's shadow","Dec 20, 2021",69K,"2,005,464 views","A tale of two problem solvers.
Numberphile video on Bertrand's paradox: "
2021 Summer of Math Exposition results,"Oct 24, 2021",36K,"748,403 views",Take a look at the full playlist (really): 
"Beyond the Mandelbrot set, an intro to holomorphic dynamics","Oct 16, 2021",36K,"1,106,517 views","An intro to holomorphic dynamics, the study of iterated complex functions.
Video on Newton's fractal: "
From Newton’s method to Newton’s fractal (which Newton knew nothing about),"Oct 13, 2021",81K,"2,333,162 views","Who knew root-finding could be so complicated?
Next part: "
The Summer of Math Exposition,"Jul 17, 2021",30K,"692,195 views","Announcement for the 2021 Summer of Math Exposition
Podcast/New channel: "
"A quick trick for computing eigenvalues | Chapter 15, Essence of linear algebra","May 8, 2021",22K,"760,608 views","How to write the eigenvalues of a 2x2 matrix just by looking at it.
Need a refresher on eigenvalues?  "
How (and why) to raise e to the power of a matrix | DE6,"Apr 1, 2021",62K,"1,988,309 views","General exponentials, love, Schrödinger, and more.
Help fund future projects: "
"The medical test paradox, and redesigning Bayes' rule","Dec 22, 2020",40K,"958,251 views","About Likelihood Ratios, also sometimes called Bayes Factors*.
Help fund future projects: "
"Hamming codes part 2, the elegance of it all","Sep 4, 2020",32K,"707,577 views",Part 1: 
How to send a self-correcting message (Hamming codes),"Sep 4, 2020",63K,"1,766,309 views","A discovery-oriented introduction to error correction codes.
Part 2: "
"Group theory, abstraction, and the 196,883-dimensional monster","Aug 19, 2020",101K,"2,492,487 views","An introduction to group theory (Minor error corrections below)
Help fund future projects: "
The impossible chessboard puzzle,"Jul 6, 2020",34K,"1,110,462 views","An information puzzle with an interesting twist
Solution on Stand-up Maths: "
The DP-3T algorithm for contact tracing (via Nicky Case),"May 14, 2020",23K,"343,975 views","Though many contact tracing apps involve location tracking, they don’t have to.
This is a video adaptation of a post by Nicky Case: "
Lockdown math announcement,"Apr 17, 2020",47K,"812,804 views",Full playlist: 
